"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","Method"
1,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
2,0.867561547531142,0,-0.013,5.013,1.852,0.983,-5.01541176723477,2.31878645228565,2.00690402611722,2.40062183860572,6.57997432604456,2.82509045687667,-9.25677681011588,-5.22020812710296,3.01290425310632,0.0604704698532275,3.50162661160548,"Ridge"
3,0.867561547531142,0,-0.013,5.013,1.852,0.983,-5.01541176723477,2.31878645228565,2.00690402611722,2.40062183860572,6.57997432604456,2.82509045687667,-9.25677681011588,-5.22020812710296,3.01290425310632,0.0604704698532275,3.50162661160548,"Ridge"
4,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
5,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
6,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
7,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
8,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
9,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
10,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
