"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
1,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
2,0.1,0.9,0.266,8.716,2.064,0.964,-5.04390631260561,2.35971212519932,2.45169222944284,2.45744049809282,6.76050595124465,2.75539524500027,-9.63190967842416,-5.50018077508169,2.98267349409057,0,3.59146942810793
3,0.1,0.5,0.267,8.678,2.061,0.964,-5.04188748783044,2.38762801024294,2.48117282023051,2.49130690702399,6.78088927133644,2.78960679456734,-9.64809554300759,-5.52934879212083,3.02362624629569,0,3.61814950438541
4,0.1,0.6,0.267,8.686,2.062,0.964,-5.04239130420442,2.380659555961,2.47381594779254,2.482857945893,6.77579999235751,2.78107217586021,-9.64405826759131,-5.52207329645297,3.01341176201413,0,3.61149063010984
5,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
6,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
7,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
8,0.1,0.8,0.266,8.705,2.063,0.964,-5.0434007154916,2.3667016231899,2.45907566888131,2.46592476686396,6.76560833630922,2.76396642774496,-9.6359653494158,-5.50748931223054,2.99293542235839,0,3.5981506045975
9,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
10,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
11,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
12,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
13,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
14,0.1,0.8,0.266,8.705,2.063,0.964,-5.0434007154916,2.3667016231899,2.45907566888131,2.46592476686396,6.76560833630922,2.76396642774496,-9.6359653494158,-5.50748931223054,2.99293542235839,0,3.5981506045975
15,0.1,0.7,0.266,8.695,2.063,0.964,-5.04289571305848,2.3736840968577,2.46645023616328,2.4743972409726,6.77070634868137,2.77252539579568,-9.64001487442546,-5.51478681124355,3.00318149949866,0,3.60482433438445
16,0.1,0.8,0.266,8.705,2.063,0.964,-5.0434007154916,2.3667016231899,2.45907566888131,2.46592476686396,6.76560833630922,2.76396642774496,-9.6359653494158,-5.50748931223054,2.99293542235839,0,3.5981506045975
17,0.1,0.7,0.266,8.695,2.063,0.964,-5.04289571305848,2.3736840968577,2.46645023616328,2.4743972409726,6.77070634868137,2.77252539579568,-9.64001487442546,-5.51478681124355,3.00318149949866,0,3.60482433438445
18,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
19,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
20,0.1,0.4,0.267,8.672,2.061,0.964,-5.04138426284043,2.39458946943162,2.48852086989635,2.49974414968923,6.78597418961935,2.79812927846713,-9.65212671472485,-5.53661332243921,3.03382498862276,0,3.6248009697937
21,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
22,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
23,0.1,0.7,0.266,8.695,2.063,0.964,-5.04289571305848,2.3736840968577,2.46645023616328,2.4743972409726,6.77070634868137,2.77252539579568,-9.64001487442546,-5.51478681124355,3.00318149949866,0,3.60482433438445
24,0.1,0.9,0.266,8.716,2.064,0.964,-5.04390631260561,2.35971212519932,2.45169222944284,2.45744049809282,6.76050595124465,2.75539524500027,-9.63190967842416,-5.50018077508169,2.98267349409057,0,3.59146942810793
25,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
26,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
27,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
28,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
29,0.1,0.9,0.266,8.716,2.064,0.964,-5.04390631260561,2.35971212519932,2.45169222944284,2.45744049809282,6.76050595124465,2.75539524500027,-9.63190967842416,-5.50018077508169,2.98267349409057,0,3.59146942810793
30,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
31,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
32,0.1,0.6,0.267,8.686,2.062,0.964,-5.04239130420442,2.380659555961,2.47381594779254,2.482857945893,6.77579999235751,2.78107217586021,-9.64405826759131,-5.52207329645297,3.01341176201413,0,3.61149063010984
33,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
34,0.1,0.8,0.266,8.705,2.063,0.964,-5.0434007154916,2.3667016231899,2.45907566888131,2.46592476686396,6.76560833630922,2.76396642774496,-9.6359653494158,-5.50748931223054,2.99293542235839,0,3.5981506045975
35,0.1,0.9,0.266,8.716,2.064,0.964,-5.04390631260561,2.35971212519932,2.45169222944284,2.45744049809282,6.76050595124465,2.75539524500027,-9.63190967842416,-5.50018077508169,2.98267349409057,0,3.59146942810793
36,0.1,0.8,0.266,8.705,2.063,0.964,-5.0434007154916,2.3667016231899,2.45907566888131,2.46592476686396,6.76560833630922,2.76396642774496,-9.6359653494158,-5.50748931223054,2.99293542235839,0,3.5981506045975
37,0.1,0.7,0.266,8.695,2.063,0.964,-5.04289571305848,2.3736840968577,2.46645023616328,2.4743972409726,6.77070634868137,2.77252539579568,-9.64001487442546,-5.51478681124355,3.00318149949866,0,3.60482433438445
38,0.1,0.9,0.266,8.716,2.064,0.964,-5.04390631260561,2.35971212519932,2.45169222944284,2.45744049809282,6.76050595124465,2.75539524500027,-9.63190967842416,-5.50018077508169,2.98267349409057,0,3.59146942810793
39,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
40,0.139582142708723,0.7,0.26,8.76,2.069,0.964,-5.04569866892237,2.34837182909045,2.43904783904658,2.44392885304631,6.74144339187551,2.73892634140813,-9.60472643442518,-5.48004334779213,2.96508665144144,0,3.58190464978583
41,0.1,0.1,0.266,8.688,2.063,0.964,-5.03871208839642,2.41138816634428,2.51356350805702,2.52563662160932,6.80215455072012,2.8232268735759,-9.66485270090168,-5.56326869726157,3.06612676607033,-0.0314230228705504,3.64637043818175
42,0.1,1,0.266,8.728,2.064,0.964,-5.04441250550519,2.3527155931126,2.44429990130152,2.44894440910918,6.7553991894937,2.74681182077453,-9.62784784726832,-5.49286117539426,2.97239567808016,0,3.58478079224531
