"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
1,0.290571128150553,0,0.082,1.02,0.799,0.901,-0.0724669571632568,0.312936597603054,-0.616220408236941,1.63719480046017,0.6314200047976,0.967580272016566,-0.691405484699387,0.342249705841805,0.0428997678225319,0.772420254593216,0.399870088257563
2,0.271831123958083,0,0.076,1.004,0.794,0.903,-0.0714328465930012,0.314036776154406,-0.626504605977578,1.65124842506297,0.635174913028522,0.97440250226318,-0.701612411369986,0.342758835347797,0.0411468181452204,0.777578578324713,0.403700827968922
3,0.254299731782124,0,0.07,0.99,0.789,0.904,-0.0704497440511494,0.315085036132282,-0.636351648846843,1.66465171796595,0.638752713602059,0.980893826918028,-0.711367086653287,0.343219798163987,0.0394552437127454,0.782483380328744,0.407353078029594
4,0.254299731782124,0,0.07,0.99,0.789,0.904,-0.0704497440511494,0.315085036132282,-0.636351648846843,1.66465171796595,0.638752713602059,0.980893826918028,-0.711367086653287,0.343219798163987,0.0394552437127454,0.782483380328744,0.407353078029594
5,0.208202560371649,0,0.055,0.957,0.779,0.907,-0.0677891182950846,0.317934999493269,-0.663340433851382,1.70113187583009,0.648475328339865,0.998486740077795,-0.738011729074886,0.344354811505453,0.0347559656186317,0.795761203660186,0.417287051015497
6,0.271831123958083,0,0.076,1.004,0.794,0.903,-0.0714328465930012,0.314036776154406,-0.626504605977578,1.65124842506297,0.635174913028522,0.97440250226318,-0.701612411369986,0.342758835347797,0.0411468181452204,0.777578578324713,0.403700827968922
7,0.254299731782124,0,0.07,0.99,0.789,0.904,-0.0704497440511494,0.315085036132282,-0.636351648846843,1.66465171796595,0.638752713602059,0.980893826918028,-0.711367086653287,0.343219798163987,0.0394552437127454,0.782483380328744,0.407353078029594
8,0.237899003774241,0,0.065,0.977,0.786,0.906,-0.0695159245998266,0.316083043731877,-0.645767931500259,1.67742139023025,0.642158497575801,0.987064528204462,-0.720678362674231,0.343636863324971,0.0378259801205193,0.787143036325421,0.41083151367567
9,0.208202560371649,0,0.055,0.957,0.779,0.907,-0.0677891182950846,0.317934999493269,-0.663340433851382,1.70113187583009,0.648475328339865,0.998486740077795,-0.738011729074886,0.344354811505453,0.0347559656186317,0.795761203660186,0.417287051015497
10,0.310603065923035,0,0.089,1.039,0.807,0.9,-0.0735537638616508,0.311782843938473,-0.605494212832754,1.62247541474107,0.627483140390253,0.960417277770929,-0.680738797037389,0.341687814755219,0.0447126705260067,0.767000268006514,0.39585653704779
11,0.237899003774241,0,0.065,0.977,0.786,0.906,-0.0695159245998266,0.316083043731877,-0.645767931500259,1.67742139023025,0.642158497575801,0.987064528204462,-0.720678362674231,0.343636863324971,0.0378259801205193,0.787143036325421,0.41083151367567
12,0.237899003774241,0,0.065,0.977,0.786,0.906,-0.0695159245998266,0.316083043731877,-0.645767931500259,1.67742139023025,0.642158497575801,0.987064528204462,-0.720678362674231,0.343636863324971,0.0378259801205193,0.787143036325421,0.41083151367567
13,0.310603065923035,0,0.089,1.039,0.807,0.9,-0.0735537638616508,0.311782843938473,-0.605494212832754,1.62247541474107,0.627483140390253,0.960417277770929,-0.680738797037389,0.341687814755219,0.0447126705260067,0.767000268006514,0.39585653704779
14,0.208202560371649,0,0.055,0.957,0.779,0.907,-0.0677891182950846,0.317934999493269,-0.663340433851382,1.70113187583009,0.648475328339865,0.998486740077795,-0.738011729074886,0.344354811505453,0.0347559656186317,0.795761203660186,0.417287051015497
15,0.290571128150553,0,0.082,1.02,0.799,0.901,-0.0724669571632568,0.312936597603054,-0.616220408236941,1.63719480046017,0.6314200047976,0.967580272016566,-0.691405484699387,0.342249705841805,0.0428997678225319,0.772420254593216,0.399870088257563
16,0.290571128150553,0,0.082,1.02,0.799,0.901,-0.0724669571632568,0.312936597603054,-0.616220408236941,1.63719480046017,0.6314200047976,0.967580272016566,-0.691405484699387,0.342249705841805,0.0428997678225319,0.772420254593216,0.399870088257563
